ID,Name,LongName,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Island,IndexInSource,IsProto
Bislama2,Bislama (2),Bislama (2):  more tending to local pronunciations,bisl1239,Bislama,bis,Papunesia,-16.10302,167.4168,Indo-European,All,48700000007,False
Bislama1,Bislama (1),Bislama (1):  more tending to English pronunciations,bisl1239,Bislama,bis,Papunesia,-16.10694,167.4208,Indo-European,All,48700000008,False
Nleonda,N: Leonda,Ambae:  North:  Leonda:  Ngwetangwele,amba1270,Ambae,omb,,-15.314,167.852877,Austronesian,Ambae,48731303809,False
Nhavailombaha,N: Havai: Lombaha,Ambae:  North:  Havai:  Lombaha,lomb1262,Lombaha,omb,Papunesia,-15.31659,167.81886,Austronesian,Ambae,48731305309,False
Nleovandue,N: Leõ: Vandue,Ambae:  North:  Leõ:  Vandue,amba1270,Ambae,omb,,-15.31851,167.820332,Austronesian,Ambae,48731307509,False
Wwalaha,W: Walaha,Ambae:  West:  Walaha,wala1268,Walaha,nnd,Papunesia,-15.40071,167.701737,Austronesian,Ambae,48731405509,False
Evuindondo,E: Vuindondo,Ambae:  East:  Vuindondo,east2443,East Ambae,omb,Papunesia,-15.30571,167.971219,Austronesian,Ambae,48731603709,False
Elolovoli,E: Lolovoli,Ambae:  East:  Lolovoli,east2443,East Ambae,omb,Papunesia,-15.36437,167.927911,Austronesian,Ambae,48731605609,False
Esanasolokave,E: Sana: Solokave,Ambae:  East:  Sana:  Solokave,east2443,East Ambae,nnd,Papunesia,-15.45831,167.856408,Austronesian,Ambae,48731608309,False
Ssakao,S: Sakao,Ambae:  South:  Sakao,amba1270,Ambae,nnd,,-15.42439,167.894062,Austronesian,Ambae,48731703709,False
Slolovele,S: Lolovele,Ambae:  South:  Lolovele,amba1270,Ambae,nnd,,-15.44771,167.869802,Austronesian,Ambae,48731705409,False
Sbiribiri,S: Biribiri,Ambae:  South:  Biribiri,amba1270,Ambae,nnd,,-15.46989,167.82893,Austronesian,Ambae,48731707209,False
Nsungwadianaumumu,N: Sungwadia: Naumumu,Maewo:  North:  Sungwadia:  Naumumu,mari1426,Sunwadia,mrb,Papunesia,-14.93637,168.053014,Austronesian,Maewo,48732302209,False
Nsungwadiatasmaor,N: Sungwadia: Tasmaor,Maewo:  North:  Sungwadia/Tasmaor:  Naumumu,mari1426,Sunwadia,mrb,Papunesia,-14.93637,168.053014,Austronesian,Maewo,48732302309,False
Nmwerlap,N: Mwerlap,Maewo:  North:  Sungwadia/Mwerlap:  Marino,mari1426,Sunwadia,mrb,Papunesia,-14.96984,168.058964,Austronesian,Maewo,48732304609,False
Nsungwadiauta,N: Sungwadia: Uta,Maewo:  North:  Sungwadia/Uta:  Marino,mari1426,Sunwadia,mrb,Papunesia,-14.97184,168.0573,Austronesian,Maewo,48732305509,False
Nsungwadianaone,N: Sungwadia: Naone,Maewo:  North:  Sungwadia/Tanurik:  Naone,mari1426,Sunwadia,mrb,Papunesia,-15.01508,168.066583,Austronesian,Maewo,48732307809,False
Ctlsungwadagarongnawo,Ctl: Sungwadaga: Rongnawo,Maewo:  Central:  Sungwadaga:  Rongnawo,cent2058,Central Maewo,mwo,Papunesia,-15.10197,168.079925,Austronesian,Maewo,48732502409,False
Ctlsungwadangota,Ctl: Sungwada: Ngota,Maewo:  Central:  Sungwada:  Ngota,cent2058,Central Maewo,mwo,Papunesia,-15.10125,168.121197,Austronesian,Maewo,48732502509,False
Ctlsungwadagalalaundi,Ctl: Sungwadaga: Lalaundi,Maewo:  Central:  Sungwandaga:  Lalaundi,cent2058,Central Maewo,mwo,Papunesia,-15.11413,168.14195,Austronesian,Maewo,48732504609,False
Ctlsungwadogarata,Ctl: Sungwadoga: Rata,Maewo:  Central:  Sungwaloge:  Sungwadola/Rata:  Navenvene,tali1260,Talise (Vanuatu),btr,Papunesia,-15.11413,168.14195,Austronesian,Maewo,48732504709,False
Ctlsungwadolagwaranuta,Ctl: Sungwadola: Gwaran Uta,Maewo:  Central:  Sungwaloge:  Sungwadola/Gwaran Uta:  Navenvene,tali1260,Talise (Vanuatu),btr,Papunesia,-15.12506,168.091146,Austronesian,Maewo,48732505209,False
Ctletawetnaviso,Ctl-E: Tawet: Naviso,Maewo:  Central:  East:  Sungwaloge/Tawet:  Naviso,tali1260,Talise (Vanuatu),btr,Papunesia,-15.12286,168.144,Austronesian,Maewo,48732505809,False
Ctlnalembanarovorovo,Ctl: Nalemba: Narovorovo,Maewo:  Central:  Sungwaloge/Nalemba:  Narovorovo,naro1250,Narovorovo,btr,Papunesia,-15.1826,168.110702,Austronesian,Maewo,48732508409,False
Ctltawetnarovorovo,Ctl: Tawet: Narovorovo,Maewo:  Central:  Sungwaloge/Tawet:  Narovorovo,naro1250,Narovorovo,btr,Papunesia,-15.18528,168.109444,Austronesian,Maewo,48732508509,False
Ctlnalembanasawa,Ctl: Nalemba: Nasawa,Maewo:  Central:  Sungwaloge/Nalemba:  Nasawa,nasa1241,Nasawa,btr,Papunesia,-15.19677,168.112254,Austronesian,Maewo,48732508609,False
Sxalangibaetora,S: Xalangi: Baetora,Maewo:  South:  Xalangi:  Baetora,maew1234,Maewo,btr,,-15.25972,168.116944,Austronesian,Maewo,48732702209,False
Sragaavavanvae,S: Raga: Avavanvae,Maewo:  South:  Raga:  Avavanvae,maew1234,Maewo,btr,,-15.34347,168.127388,Austronesian,Maewo,48732705309,False
Ssungagageavavanvae,S: Sungagage: Avavanvae,Maewo:  South:  Sungagage:  Avavanvae,maew1234,Maewo,btr,,-15.34347,168.127388,Austronesian,Maewo,48732705409,False
Ssungagageasanvari,S: Sungagage: Asanvari,Maewo:  South:  Sungagage:  Asanvari,maew1234,Maewo,btr,,-15.37944,168.128889,Austronesian,Maewo,48732707509,False
Ssungagageavanbatai,S: Sungagage: Avanbatai,Maewo:  South:  Sungagage:  Avanbatai,maew1234,Maewo,btr,,-15.38639,168.146667,Austronesian,Maewo,48732707709,False
Venentautealpalak,V’ënen Taute: Alpalak,,bign1238,Big Nambas,nmb,Papunesia,-15.99722,167.1825,Austronesian,Malekula,48741151109,False
Venentautebenenavet,V’ënen Taute: Benenavet,,bign1238,Big Nambas,nmb,Papunesia,-16.02038,167.17671,Austronesian,Malekula,48741153209,False
