Grapheme	IPA	Frequency
a	a	171
-	+	95
^-	NULL	70
r	r	61
u	u	51
^n	n	47
ɛ	ɛ	45
o	o	38
m	m	34
t	t	33
m$	m	28
i$	i	26
n	n	25
s	s	24
ᵐb	ⁿb	24
i	i	23
n$	n	23
ɪ	ɪ	22
ɣ	ɣ	21
f	f	19
e$	e	17
r$	r	16
v	v	16
^m	m	15
p	p	13
k	k	13
s$	s	12
ŋ	ŋ	12
_	+	11
o$	o	11
x	x	11
u$	u	10
x$	x	10
ⁿdʳ	ⁿdʳ	9
t$	t	8
^ᵐb	ⁿb	8
ŋ$	ŋ	7
e	e	7
^ɛ	ɛ	5
^r	r	5
^ɲ	ɲ	5
^f	f	5
^ⁿd	ⁿd	5
h	h	5
^i	i	4
^ⁿdʳ	ⁿdʳ	4
p$	p	3
ɔ$	ɔ	3
ᵑg	ⁿg	3
^s	s	2
a$	a	2
^t	t	2
^ɣ	ɣ	2
ⁿd	ⁿd	2
b	b	2
k$	k	2
ʧ	tʃ	2
vs	v s	2
f$	f	2
w	w	2
^ŋ	ŋ	1
^ʧ	tʃ	1
^h	h	1
ɪ$	ɪ	1
^k	k	1
ⁿdʳ$	ⁿdʳ	1
^x	x	1
rs	r s	1
l	l	1
ʧ$	tʃ	1
v$	v	1
^ᵑg	ⁿg	1
xs	x s	1
nw	nʷ	1
ʊ	ʊ	1
ɲ	ɲ	1
ɔ	ɔ	1
ps	p s	1
ŋs	ŋ s	1
ə$	ə	1
t͡s	ts	1
