Grapheme	IPA	Frequency
-	+	120
a	a	90
ɛ	ɛ	66
i	i	65
o	o	47
n$	n	46
u	u	45
l	l	40
^n	n	38
m	m	33
^i	i	30
^k	k	30
t	t	28
r	r	26
^-	NULL	26
n	n	21
ʔ	ʔ	20
s	s	18
l$	l	14
ŋ$	ŋ	14
ʔ$	ʔ	13
m$	m	13
e	e	13
h	h	13
β	β	12
s$	s	11
i$	i	11
^m	m	11
t$	t	10
ʊ	ʊ	9
v	v	9
r$	r	9
ŋ	ŋ	8
ᵐb	ⁿb	8
_	+	8
ɪ	ɪ	8
œ	œ	6
ɔ	ɔ	6
o$	o	5
^ᵐb	ⁿb	5
h$	h	5
p	p	5
ᵐbʷ	ⁿbʷ	5
æ	æ	5
w	w	5
ᵑg	ⁿg	4
^l	l	4
^t	t	4
e$	e	4
βʷ	βʷ	4
p$	p	4
u$	u	3
^s	s	3
ⁿd	ⁿd	3
ʉ	ʉ	3
mʷ	mʷ	3
k	k	3
p˺$	p̚	3
^u	u	3
ᵐm	ⁿm	2
^a	a	2
^ɛ	ɛ	2
vʷ	vʷ	2
^ᵐbʷ	ⁿbʷ	2
^ⁿd	ⁿd	2
^v	v	2
ʃ	ʃ	2
ᵐʙ	ⁿʙ	2
^d	d	1
a$	a	1
x$	x	1
ɸ$	ɸ	1
^ᵑg	ⁿg	1
nh	nʰ	1
^b	b	1
oo	oː	1
^ᵐʙ	ⁿʙ	1
t˺$	t̚	1
b	b	1
^bʷ	bʷ	1
nw	nʷ	1
βh	βʰ	1
ʊ$	ʊ	1
^ɪ	ɪ	1
aʰ$	a ʰ/h	1
d	d	1
^h	h	1
