Grapheme	IPA	Frequency
a	a	81
-	+	79
i	i	46
n$	n	35
o	o	34
^n	n	34
ɛ	ɛ	31
u	u	29
l	l	28
^-	NULL	28
^i	i	26
r	r	25
t	t	25
m	m	23
ŋ	ŋ	14
ɣ	ɣ	13
n	n	13
s	s	12
v	v	10
_	+	10
β	β	9
a$	a	9
s$	s	8
ᵐb	ⁿb	8
ɪ	ɪ	8
m$	m	7
t$	t	7
x$	x	7
l$	l	6
g	g	6
r$	r	6
ⁿdʳ	ⁿdʳ	6
i$	i	5
x	x	5
ʊ	ʊ	5
e$	e	5
u$	u	4
ⁿʧ	ⁿtʃ	4
ʉ	ʉ	4
^a	a	4
ᵐʙ	ⁿʙ	4
ⁿd	ⁿd	4
^m	m	3
^ᵑg	ⁿg	3
e	e	3
^ᵐb	ⁿb	3
p$	p	3
ɬ$	ɬ	2
ⁿt͡ʃ	ⁿtʃ	2
^b	b	2
mʷ	mʷ	2
^e	e	2
ᵐbʷ	ⁿbʷ	2
ⁿt͡s	ⁿts	2
w	w	2
^ᵐʙ	ⁿʙ	2
o$	o	2
h	h	2
^k	k	2
k	k	2
^ᵑɡ	ⁿg	1
ᵑg	ⁿg	1
^t	t	1
ns	n s	1
^ⁿdʳ	ⁿdʳ	1
ŋ$	ŋ	1
p	p	1
-$	NULL	1
d	d	1
ɣ$	ɣ	1
^x	x	1
^l	l	1
ɸ$	ɸ	1
aː	aː	1
p˺$	p̚	1
ɔ$	ɔ	1
$	NULL	1
q	q	1
ᴩ	p	1
ə	ə	1
ɾ	ɾ	1
^ɛ	ɛ	1
k$	k	1
ʧ	tʃ	1
q$	q	1
