Grapheme	IPA	Frequency
a	a	115
a$	a	102
u	u	77
i	i	74
n	n	61
l	l	60
r	r	57
e	e	39
m	m	37
^m	m	36
^k	k	32
j	j	31
o	o	28
^p	p	27
s	s	23
^l	l	21
p	p	21
^o	o	18
e$	e	17
u$	u	17
k	k	16
^s	s	16
i$	i	16
aː	aː	15
t	t	15
ŋ	ŋ	15
_	+	12
ɛ	ɛ	12
o$	o	12
g	g	12
ʷ	w	12
l$	l	10
$	NULL	8
^a	a	8
v	v	7
k$	k	7
w	w	6
ⁿ	ⁿ/n	6
^n	n	6
^ᵐb	ⁿb	5
^j	j	5
^b	b	5
s$	s	4
ɔ	ɔ	4
iː	iː	4
r$	r	4
n$	n	4
^i	i	4
^w	w	4
m$	m	3
^ʷi	w i	3
ñ	ɲ	3
^mʷ	mʷ	3
^	NULL	3
aʰu	a h u	3
^u	u	3
ɒ	ɒ	3
j$	j	3
p$	p	2
^oʰu	o h u	2
^aː	aː	2
uː	uː	2
oː	oː	2
^t	t	2
mw	mʷ	1
byl	b y l	1
ə$	ə	1
^ŋg̊	ŋ g̊	1
^ᵐr	ⁿr	1
ʰ	h	1
õ	õ	1
ps	p s	1
^aʰu	a h u	1
ʋ	ʋ	1
e:	eː	1
b	b	1
t$	t	1
^ᵐj	ⁿj	1
ɐ	ɐ	1
eː	eː	1
aʷe	a w e	1
^d	d	1
^eː	eː	1
ʍ	ʍ	1
iː$	iː	1
ᵐj	ⁿj	1
pw	pʷ	1
^e	e	1
ɑ	ɑ	1
