Nindelabo,English Translation
-sei,1_one
xowɔ,2_two
-tl,3_three
-ves,4_four
selme,5_five
ðlaᵑgal,10_ten
naðlaᵑgal_xʷɔ,11_twenty
naðaᵑgal_selmeh,12_fifty
naðlaᵑgal_ðlaᵑgal_ᵑgoɣo_ituvi_sei,13_onehundred
nɛ-to,15_year
des-modne,16_right
ⁿdes-tataʔ,17_left
kənɛ,18_i
nuᵑk,23_thou
nie,26_heshe
naxa,27_theyall
naxa_iɣa,28_theyboth
ⁿdɛa,30_what
nania,31_who
mɛne,32_where
mamune,34_how
tioŋe,35_this
taxaiβe,36_that
-xane,37_above
-βene,38_below
lele,39_ininside
n-ɛlbute-re,41_hair
ne-mete-re,42_eye
nu-ᵑguna-re,43_nose
ⁿdɪlɪŋa-re,44_ear
no-ᵐbor-e,45_mouth
ne-lme-re,46_tongue
nɛ-vaɣa,48_hand
ᵐʙutuxare,49_shoulder
ni-tuko-re,51_back
nɪ-ᵐbul-ɛkɪne,52_leg
nare,53_blood
no-ᵐboðoᵑgo,54_bone
ni-vite-re,56_belly
ne-se-re,57_intestines
no-momo,58_breast
nu-ᵐbupu-nɛ,59_liver
ᵐʙormɛn,60_dog
nɛ-mɛn,61_bird
miaðe,62_fish
na-mʷate,63_snake
ne-ᵑgɛles,64_worm
nu-ᵑgut,65_louse
kairate,66_rat
na-taðe,67_spider
na-ᵑɡune_taðe,67_spider
na-ᵑgamʷa,68_mosquito
na-maðap,69_egg
na-maðap_nɛnɛ,69_egg
nɛ-lᵐʙuse,70_tail
nɛ-luvɣa,71_wing
nɛ-le,72_feather
nɛ-le_nɛ-nɛ,72_feather
nu-mugʊt,73_man
boilolo,75_child
nikia-ne,76_name
tatai,78_father
kaiwut_akɪne,79_husband
watawax-akine,80_wife
laɣan,81_day
liβete,82_night
ne-βe,83_moon
na-nmusi,84_star
ne-mɪlɛᵑge,85_sky
no-woi,86_water
nɛ-tɪs_ðlaðlaʔ,87_lake
nɛ-tɪs,88_sea
nɪ-ᵐbia,89_fire
nɪ-ᵐbuniep,91_ash
nɛ-vɛt,92_stone
nɛ-tɛne,93_earthsoil
nɪ-ᵐboniɛp,94_dust
nɪ-ᵐʙɪnwane,95_sand
nu-wɔ,96_rain
na-ᵐbʷan,97_cloud
na-ðaŋ,98_wind
nɪ-βʉle,99_thunder
nɪ-βʉle_i-aiaɣa,100_lightning
na-wan-ne,102_fruit
na-ᵑgaʁawa-ne,104_root
na-usɣa,105_branch
nu-woxo,106_leaf
n-ei,107_wood
nɛ-soᵑgoni,108_grass
ni-tuve-ni,109_flower
nu-xoite,110_thatchroof
na-mʷi,111_house
nɛ-tɛl,112_rope
na-ðe,113_roadpath
-mite,114_black
-mʉs,115_white
-miaðe,116_red
-mɛlkɪse,117_green
-lʉt,118_yellow
-ðleve,119_big
-lolo,120_small
-maŋal,121_sharp
-ᵐʙugo,122_bluntdull
-maðe,123_shyashamed
kaiwut,124_old
-miaʔ,125_painfulsick
-ⁿda,126_good
-pelawas,127_bad
mom,130_rotten
-luᵐʙ-ras,131_heavy
-slaʔ-ras,132_far
-nɛmɛðaʔ,134_cold
-maɣaɣas,135_dry
-luᵐʙ,136_wet
-βeβo,137_new
ku-βul,139_come
-taɣse,141_stand
-taɣse_bɛri,141_stand
-spo,142_sit
-spo_ðata,142_sit
-sum,143_fall
-sum_ðatane,143_fall
-mɪⁿdox_ðatane,144_liedown
-aʔ,146_climb
-aʔ_bɛri,146_climb
ku-ⁿdɛⁿdɛn,147_swim
-jɛle,148_flyverb
suᵐʙro-iŋe,149_throw
-tuðaðaʔ,150_hide
-xoi,154_spit
-lin_ᵐʙɪɣi,155_dream
-mɪⁿdox,156_sleep
-muɔx,157_live
-mɛs,158_die
-xus-mɛs,159_kill
-ᵑgulo,160_see
-xoŋe,161_hear
ni-ᵐʙune,162_sniffsmell
-vitumo,163_laugh
-xo,164_cry
-sɪsəɣʊp,165_blow
-xos-uŋe,169_hit
-sim,170_cut
sɪᵐbax-iŋe,171_split
kɪl-iŋe,172_dig
-golo,173_hunt
i-ɛl,174_hold
i-ɛl_dudu,174_hold
-mɛdaʔ,175_fear
-βiwox,176_count
-ŋara-iɛnɛ,177_breathe
-liluɔ,178_vomit
-wus,179_tieup
-wus_tutu,179_tieup
-tiᵐʙ,181_swell
i-ox,183_scratch
-tax-iŋe,184_stab
wul-iŋe,185_buy
-vɛnaʔ,186_steal
ðap-iŋe,187_plant
-xaʔ,190_work
sax-iŋe,191_open
